,title_ramowka,redactor,datetime
1306,Muzyka do rana,,2022-02-02 00:00:00
1307,Nowy świt,Mateusz Andruszkiewicz,2022-02-02 06:00:00
1308,Wszystko gra,Maciej Jankowski,2022-02-02 10:00:00
1309,W środku dnia,Jan Niebudek,2022-02-02 11:00:00
1310,Dzieci bluesa,Jan Chojnacki,2022-02-02 14:00:00
1311,Nowy Świat po południu,Michał Porycki,2022-02-02 16:00:00
1312,Badafonia,Kuba Badach,2022-02-02 19:00:00
1313,Słowo daję,Jarosław Mikołajewski,2022-02-02 21:00:00
1314,Muzyka do czytania,Michał Nogaś,2022-02-02 22:00:00
1315,Nasze nocne granie,,2022-02-03 00:00:00
1316,Nasze nocne granie,,2022-02-03 01:00:00
1317,Nowy świt,Katarzyna Kasia,2022-02-03 06:00:00
1318,Numer na bis,Maria Zamachowska,2022-02-03 10:00:00
1319,W środku dnia,Jan Niebudek,2022-02-03 11:00:00
1320,Zamach na dziesiątą muzę,Zbigniew Zamachowski,2022-02-03 14:00:00
1321,Nowy Świat po południu,Michał Porycki,2022-02-03 16:00:00
1322,Napiór w eterze,Marek Napiórkowski,2022-02-03 19:00:00
1323,Punkt widzenia,Beata Grabarczyk,2022-02-03 21:00:00
1324,Nocny świat,Mikołaj Kierski,2022-02-03 22:00:00
1325,Muzyka do rana,,2022-02-04 00:00:00
1326,Poranna Manna,Wojciech Mann,2022-02-04 06:00:00
1327,Dobrze nastrojone,Marcelina Słomian,2022-02-04 10:00:00
1328,W środku dnia,Jan Niebudek,2022-02-04 11:00:00
1329,Sny kolorowe,"Adam Stasiak, Barbara Gregorczyk",2022-02-04 13:00:00
1330,Świat nowej muzyki,Bartek Winczewski,2022-02-04 14:00:00
1331,Nowy Świat po południu,Michał Porycki,2022-02-04 16:00:00
1332,Muzyczny gabinet terapeutyczny,Monika Borzym,2022-02-04 19:00:00
1333,RadioAktywni,Jacek Nizinkiewicz,2022-02-04 20:00:00
1334,Powidoki,Bruno Jasieński,2022-02-04 22:00:00
1335,U progu nocy,Kamil Wrona,2022-02-04 23:00:00
1336,Muzyka do rana,,2022-02-05 00:00:00
1337,Sobotni brzask,Maciej Jankowski ,2022-02-05 07:00:00
1338,Koncert życzeń,Piotr Bukartyk ,2022-02-05 10:00:00
1339,Deliberatorium,Beata Grabarczyk ,2022-02-05 12:00:00
1340,Bon ton,Agnieszka Lipka-Barnett,2022-02-05 13:00:00
1341,Radiolokacja,"Barbara Gregorczyk, Maciej Grzenkowicz ",2022-02-05 14:00:00
1342,Stulecie dziwów,Jerzy Sosnowski ,2022-02-05 15:00:00
1343,Klimaty na raty,Jan Janczy,2022-02-05 16:00:00
1344,Mięta do (pop)kultury,Katarzyna Oklińska ,2022-02-05 18:00:00
1345,Soulówka,Mikołaj Tyczyński ,2022-02-05 19:00:00
1346,"Szczyt wszystkiego, czyli każda lista świata","Mateusz Andruszkiewicz, Marcin Mann, Maciej Jankowski",2022-02-05 20:00:00
1347,Domówka,Paweł Orlikowski,2022-02-05 22:00:00
1348,Muzyka do rana,,2022-02-06 00:00:00
1349,De Cuba Su Musica,Jose Torres,2022-02-06 08:00:00
1350,Zbiory prywatne,Maria Zamachowska ,2022-02-06 10:00:00
1351,Manniak po omacku,Wojciech Mann,2022-02-06 11:00:00
1352,Raczek movie,Tomasz Raczek ,2022-02-06 13:00:00
1353,Wesoła warszawska fala,Jan Emil Młynarski,2022-02-06 14:00:00
1354,Pora siesty,Marcin Kydryński,2022-02-06 15:00:00
1355,W głębi duszy,Eliza Michalik ,2022-02-06 17:00:00
1356,Nie tylko hip-hop,Mateusz Andruszkiewicz,2022-02-06 18:00:00
1357,Czytał Michał Nogaś,Michał Nogaś ,2022-02-06 19:00:00
1358,Piosennik,Andrzej Poniedzielski,2022-02-06 20:00:00
1359,Dobrze nastrojone po polsku,Marcelina Słomian,2022-02-06 22:00:00
